"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111797521,"Santana, Dennis",MLB,2021,"LA, TEX",55,0,54.2,4.28,0.3148162393,4.259,0.289474,0.220126,0.503145,0.220126,0.097561,0.135021,0.194093,19.600,25.700,30.000,92.0110872437532
111814865,"Sulser, Beau",MLB,2022,"BAL, PIT",8,0,20.0,4.05,0.3609719101,4.32,0.311475,0.1875,0.46875,0.21875,0.136364,0.087912,0.197802,22.100,18.400,34.800,89.98027689812713
111805001,"Hartlieb, Geoff",AAA,2021,"BOS, NYM, PIT",23,0,26.1,3.76,0.3212702479,5.255,0.246377,0.205479,0.506849,0.260274,0.190476,0.140496,0.239669,11.000,24.900,27.800,91.418249
111826704,"Fuentes, Juan",Rk-,2022,PIT,12,0,9.2,13.97,0.4825984375,7.135,0.416667,0.28125,0.46875,0.21875,0.0,0.21875,0.125,6.300,26.100,13.600,90.52698799999999
111829305,"Cerantola, Eric",Rk,2021,KC,4,2,4.2,1.93,0.3192565217,4.958,0.166667,,,,,0.304348,0.391304,,75.000,20.500,97.88585
111825168,"Stil, Matthew",Rk,2021,KC,3,2,5.0,9.0,0.4547730769,5.072,0.411765,0.235294,0.411765,0.352941,0.0,0.192308,0.153846,17.600,28.200,23.600,92.0437
111840333,"Ordonez, Dermis",Rk-,2022,PIT,13,4,24.0,5.25,0.3426390909,5.333,0.171875,0.15873,0.52381,0.174603,0.0,0.261261,0.135135,6.500,25.800,15.100,86.14158099999997
111837623,"Long, Ryan",Rk,2021,BAL,5,4,7.0,7.71,0.384996875,5.434,0.318182,0.111111,0.555556,0.222222,0.333333,0.03125,0.21875,8.300,28.600,31.700,91.6429
111793274,"Lail, Brady",AAA,2021,"PHI, SEA",35,2,46.0,5.48,0.3663699507,5.718,0.280702,0.201613,0.395161,0.298387,0.183673,0.132353,0.245098,21.100,27.100,29.800,92.1946119
111842211,"Rosario, Wander",Rk-,2022,NYM,12,0,10.2,16.03,0.5393202899,8.958,0.393939,0.352941,0.529412,0.117647,0.5,0.347826,0.144928,5.900,28.300,33.300,88.78899600000001
111815695,"Zurak, Kyle",AA,2022,"DET, NYY",26,0,34.0,4.5,0.3529282895,4.351,0.344086,0.234694,0.44898,0.244898,0.103448,0.118421,0.230263,17.700,26.600,31.800,92.40968760000001
111844794,"Stone, Tyler",Rk,2022,ARI,5,0,5.1,16.87,0.5329735294,7.204,0.5,0.1875,0.5,0.1875,0.2,0.205882,0.205882,12.500,19.600,21.800,86.03149119641851
111840184,"Seijas, Frelianderson",Rk-,2022,NYM,15,0,17.2,6.11,0.3839530864,2.526,0.375,0.076923,0.538462,0.192308,0.1,0.098765,0.271605,3.800,31.300,21.600,89.79416000000006
111815586,"Mills, Wyatt",MLB,2022,"KC, SEA",26,0,27.1,4.94,0.3242864407,3.474,0.3125,0.207317,0.439024,0.317073,0.035714,0.107438,0.190083,14.900,23.200,27.100,89.62623319226114
111800924,"Feyereisen, J.P.",MLB,2021,"MIL, TB",55,0,56.0,2.73,0.2824435345,4.21,0.216783,0.172185,0.377483,0.331126,0.076923,0.141026,0.226496,16.600,32.200,33.700,90.8286929209624
111801277,"Garcia, Edgar",AAA,2021,"CIN, MIN",37,0,45.0,3.2,0.2880963158,3.63,0.252336,0.12963,0.509259,0.287037,0.025641,0.152632,0.257895,7.400,32.100,27.900,90.94643599999999
111819307,"Garcia, Yonaiker",Rk-,2022,CLE,17,0,37.0,4.38,0.3285115385,2.475,0.307692,0.125,0.385417,0.40625,0.042553,0.064103,0.230769,9.400,25.800,26.000,87.39915
111829085,"Bernardo, Smeily",Rk-,2021,LA,13,0,18.2,6.75,0.4041607143,5.032,0.326087,0.108696,0.456522,0.369565,0.1,0.154762,0.238095,4.300,26.700,19.700,90.423036
110295779,"Sadzeck, Connor",AAA,2021,"CWS, MIL",40,0,44.2,4.84,0.358657971,5.199,0.298246,0.175,0.5,0.25,0.128205,0.135266,0.236715,13.300,26.300,21.600,92.39061659999999
111828539,"Pineda, Yonatan",Rk-,2021,BAL,15,12,36.1,9.41,0.4303798913,4.999,0.357895,0.186813,0.428571,0.307692,0.028571,0.221622,0.232432,5.400,27.700,21.400,88.9554945
111842625,"Burgos, Enyer",Rk-,2022,TEX,12,5,17.0,11.65,0.4724333333,5.112,0.478261,0.265306,0.408163,0.22449,0.0,0.235294,0.245098,6.100,29.100,25.700,83.56238199999999
111797406,"Reed, Jake",MLB,2021,"LA, NYM",10,1,10.0,3.6,0.2702585366,2.723,0.3,0.3125,0.40625,0.21875,0.125,0.046512,0.232558,23.300,25.500,26.600,94.34718032650215
111844181,"Suarez, Brayan",Rk-,2022,ARI,12,5,19.1,4.66,0.3382890244,1.807,0.395349,0.225,0.45,0.2,0.0,0.108434,0.325301,2.600,40.900,30.700,86.22820400000002
111809486,"Willis, Marlin",Rk,2021,KC,3,0,4.2,9.64,0.4462333333,2.815,0.529412,0.222222,0.5,0.111111,0.0,0.041667,0.208333,11.800,31.900,30.400,91.862158
111839848,"Rondon, Wilton",Rk-,2022,BAL,12,0,20.1,4.43,0.3577329897,3.665,0.301587,0.218182,0.490909,0.254545,0.0,0.154639,0.164948,5.500,28.500,24.700,85.91087
