"playerid","ip","name","projyear","percentile","war"
"111806076",22.2070564516129,Ryan Halstead,2023.0,pct80,0.157696282284797
"111806139",15.3716566866267,Ryan Brinley,2023.0,pct20,-0.139945401546123
"111806139",16.2869653767821,Ryan Brinley,2023.0,pct50,0.131118819971601
"111806139",16.9816568047337,Ryan Brinley,2023.0,pct80,0.363329937422021
"111806209",13.1710578842315,Braxton Lorenzini,2023.0,pct20,-0.484384381864321
"111806209",14.1538910505837,Braxton Lorenzini,2023.0,pct50,-0.222284032749642
"111806209",15.0696673189824,Braxton Lorenzini,2023.0,pct80,0.0189360770592881
"111806471",13.3491228070175,Edward Paredes,2023.0,pct20,-0.395651198818259
"111806471",14.3929460580913,Edward Paredes,2023.0,pct50,-0.141092933235903
"111806471",15.2335984095427,Edward Paredes,2023.0,pct80,0.0774743062723065
"111807280",37.8815476190476,Blake Cederlind,2023.0,pct20,-0.371794929756457
"111807280",39.151509054326,Blake Cederlind,2023.0,pct50,0.0238031476268295
"111807280",40.3501992031873,Blake Cederlind,2023.0,pct80,0.385558100829074
"111807915",25.4706,Rico Garcia,2023.0,pct20,-0.317485729457086
"111807915",26.689378757515,Rico Garcia,2023.0,pct50,0.0176524056673659
"111807915",27.5818363273453,Rico Garcia,2023.0,pct80,0.309891645701533
"4721",10.9084507042254,Brock Holt,2023.0,pct80,0.178781040756238
"111807947",23.5881763527054,Yordi Rosario,2023.0,pct20,-0.692745520858702
"111807947",24.8402777777778,Yordi Rosario,2023.0,pct50,-0.350301152854305
"111807947",26.0968316831683,Yordi Rosario,2023.0,pct80,-0.0128845005562925
"111808178",27.4504016064257,Michel Baez,2023.0,pct20,-0.307535530253996
"111808178",28.7240963855422,Michel Baez,2023.0,pct50,0.0411641627988323
"111808178",29.7183632734531,Michel Baez,2023.0,pct80,0.359832587507601
"111809289",17.8657314629259,Diego Cordero,2023.0,pct20,-0.404799351750814
"111809289",18.8820158102767,Diego Cordero,2023.0,pct50,-0.111969864406743
"111809289",19.7970119521912,Diego Cordero,2023.0,pct80,0.131946756108279
"111809519",15.0185258964143,Nathan Sweeney,2023.0,pct20,-0.35361261956318
