"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111796178,"De Horta, Adrian",AA,2021,TB,17,5,33.0,4.36,0.3196262069,4.613,0.266667,0.222222,0.395062,0.296296,0.166667,0.124138,0.303448,18.000,33.200,29.700,89.49157219999998
111833913,"Acosta, Luis",Rk-,2021,SD,20,0,28.1,6.35,0.4120437037,3.846,0.4125,0.307692,0.5,0.153846,0.214286,0.110294,0.264706,3.700,42.600,35.200,87.37565700000002
111802209,"McCullough, Morgan",A+,2022,KC,1,0,0.1,0.0,0.0,3.479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000,50.000,0.000,80.66111
111840599,"Mesa, Miguel",Rk-,2022,BAL,4,1,5.1,5.06,0.39458,4.458,0.3125,0.176471,0.470588,0.235294,0.0,0.192308,0.153846,18.800,15.400,22.800,92.81508999999998
111828047,"Jensen, William",AA,2022,SF,5,5,25.1,5.68,0.3626236364,5.897,0.266667,0.146341,0.341463,0.365854,0.125,0.108108,0.171171,11.300,23.000,28.600,93.0519
111803498,"Watson, Tyler",A+,2021,MIN,23,12,69.2,4.78,0.3430928571,5.489,0.272727,0.129808,0.480769,0.288462,0.101266,0.11254,0.189711,11.500,26.900,26.900,90.07911800000001
111837061,"Rozek, Aaron",AA,2021,MIN,1,0,3.0,0.0,0.21814,2.131,0.25,0.125,0.625,0.25,0.0,0.0,0.2,25.000,25.000,25.000,92.486864
111837667,"Leasure, Jordan",AA,2022,LA,38,0,42.1,3.83,0.3046976879,4.279,0.277228,0.3,0.254545,0.3,0.148936,0.08,0.302857,22.000,25.700,25.400,91.1384
111811722,"Dibrell, Tony",AA,2022,NYM,5,4,15.1,7.04,0.3625442857,4.388,0.342857,0.162162,0.297297,0.432432,0.1,0.157143,0.314286,18.900,31.800,27.700,86.96422649999998
111843642,"Duarte, Rancel",Rk-,2022,ARI,15,0,17.1,5.71,0.3885302326,3.506,0.367347,0.348837,0.27907,0.255814,0.0,0.174419,0.22093,13.500,21.500,26.400,89.68548399999999
111819506,"Anderson, Reid",A+,2021,NYY,7,7,31.2,3.98,0.3333649635,5.237,0.275,0.127907,0.511628,0.325581,0.107143,0.100719,0.230216,10.800,31.100,29.300,94.14827490000002
110294440,"Sanchez, Aaron",MLB,2021,SF,9,7,35.1,3.06,0.3011615385,4.0,0.275229,0.198198,0.531532,0.216216,0.066667,0.096154,0.166667,17.600,19.200,21.100,92.441722
111833580,"Martinez, Maximo",Rk-,2021,LA,12,12,28.1,4.76,0.4195315385,5.399,0.308642,0.157895,0.368421,0.407895,0.057143,0.123077,0.161538,6.700,21.100,26.400,89.04987399999999
111801885,"Ynoa, Huascar",A+,2021,ATL,1,1,2.0,27.0,0.5587133333,3.253,0.666667,0.666667,0.333333,0.0,,0.066667,0.133333,25.000,24.000,36.000,95.82471
111802085,"Tona, Jesus",A+,2021,SF,1,0,1.0,0.0,0.375825,-0.029,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.000,13.300,30.000,91.30882
111805158,"Paredes, Enoli",AA,2021,HOU,4,0,5.0,0.0,0.1115666667,0.464,0.2,0.166667,0.166667,0.333333,0.0,0.066667,0.6,40.000,54.800,31.000,87.79097759999999
111795151,"Banks, Tanner",AAA,2021,CWS,25,5,59.2,4.53,0.3581429688,3.855,0.361963,0.2,0.434286,0.302857,0.16129,0.050584,0.272374,15.000,30.400,30.800,91.4585064
111796898,"Megill, Tylor",AA,2022,NYM,1,1,3.2,4.91,0.2765642857,4.228,0.25,0.111111,0.333333,0.555556,0.2,0.0,0.357143,22.200,43.500,22.200,96.530153
111817938,"Correa, Jean",A,2022,CIN,1,0,4.1,4.15,0.2735058824,2.795,0.230769,0.307692,0.384615,0.307692,0.0,0.058824,0.176471,23.100,23.100,21.200,94.91515179503932
111806382,"Jefferies, Daulton",MLB,2022,OAK,8,8,39.1,5.72,0.3344563953,3.696,0.323077,0.222222,0.466667,0.266667,0.097561,0.046512,0.162791,20.400,21.500,27.100,93.66458792506494
111800718,"Stout, Eric",AAA,2021,MIA,7,4,17.2,10.19,0.4426282609,8.922,0.295455,0.18,0.4,0.26,0.285714,0.195652,0.228261,22.000,24.100,19.100,92.3499224
111809130,"Macuare, Angel",AA,2021,HOU,6,4,25.0,1.8,0.275476,4.864,0.166667,0.15625,0.5,0.234375,0.052632,0.17,0.19,8.200,20.200,24.400,86.47919
111824703,"McInvale, Andrew",A+,2021,TOR,2,0,4.0,4.5,0.2689823529,4.971,0.222222,0.2,0.4,0.2,0.25,0.058824,0.352941,10.000,36.400,24.200,90.029381
111818829,"Marquez, Emilio",A+,2021,KC,4,2,13.1,10.13,0.482940625,9.602,0.342105,0.177778,0.311111,0.488889,0.304348,0.0625,0.21875,33.300,26.900,20.600,93.525571
111826271,"Curet, Yoniel",Rk-,2021,TB,14,8,51.0,3.71,0.3430895455,3.269,0.324561,0.173077,0.5,0.25,0.0,0.122172,0.285068,5.800,32.300,32.500,88.07577799999996
111836863,"Gonzalez, Arielbi",A,2022,MIL,1,0,3.0,6.0,0.4061333333,6.823,0.333333,0.1,0.3,0.5,0.166667,0.0,0.166667,20.000,12.000,30.000,90.17395
111825620,"Quintana, Adrian",Rk-,2021,SEA,12,11,59.1,1.97,0.2017308036,2.216,0.197279,0.146667,0.5,0.253333,0.056604,0.040179,0.285714,7.300,26.200,34.100,91.18652600000001
109502081,"Weber, Ryan",AAA,2021,SEA,10,10,60.1,3.58,0.2722408511,4.061,0.276074,0.16763,0.50289,0.260116,0.163636,0.008511,0.251064,13.400,17.000,25.400,93.22196960000001
111498658,"Gant, John",MLB,2021,STL,25,14,76.1,3.42,0.3276526471,4.996,0.261261,0.247863,0.452991,0.222222,0.09375,0.162319,0.162319,19.400,22.900,22.900,91.76807619884582
111825046,"Roach, Dalton",AAA,2022,STL,1,0,1.0,0.0,0.5572333333,7.477,0.666667,0.0,1.0,0.0,,0.333333,0.166667,0.000,20.000,15.400,79.256928
111820632,"Yoshikawa, Shumpei",Rk,2021,ARI,1,0,1.0,18.0,0.2947,4.672,0.25,0.25,0.25,0.25,0.0,0.166667,0.166667,25.000,21.400,33.300,88.23467600000001
111815591,"McCaughan, Darren",AAA,2021,SEA,20,20,115.1,4.53,0.310422833,5.041,0.275758,0.210227,0.428977,0.306818,0.16,0.035941,0.209302,18.300,18.500,31.500,90.90227199999998
